event,lepton_index,pid,pT,eta,phi
0,0,|,|,|,|
0,1,|,|,|,|
0,2,|,|,|,|
0,3,|,|,|,|
0,4,|,|,|,|
0,5,|,|,|,|
0,6,|,|,|,|
0,7,|,|,|,|
0,8,|,|,|,|
0,9,|,|,|,|
0,10,|,|,|,|
0,11,|,|,|,|
0,12,|,|,|,|
0,13,|,|,|,|
0,14,|,|,|,|
85,4,11,0.010,-6.608,-1.481
85,5,-11,0.024,-6.431,-1.206
85,6,-11,0.992,-4.702,-1.985
85,7,13,0.052,2.620,2.437
86,0,13,13.821,4.645,2.123
86,1,-13,31.466,1.751,0.389
86,2,13,7.273,1.210,2.981
86,3,-13,11.758,3.649,-0.049
86,4,11,0.062,0.420,1.377
87,0,11,50.244,0.124,-1.609
87,1,-11,45.197,-0.563,2.538
87,2,13,23.645,-0.435,-1.832
87,3,-13,29.295,-0.604,-2.695
87,4,11,0.018,3.615,2.111
87,5,-11,0.018,3.739,2.040
87,6,11,0.390,1.917,-0.785
87,7,11,0.511,0.732,0.716
87,8,-11,0.106,0.728,0.716
87,9,11,0.027,3.513,-2.973
87,10,-11,0.479,3.622,-2.976
87,11,11,0.012,-3.808,0.363
87,12,-11,0.323,-3.827,0.418
87,13,11,0.524,0.339,-1.270
87,14,-11,0.039,0.557,-1.231
87,15,11,0.031,-4.790,2.892
87,16,-11,0.007,-4.808,2.956
88,0,-11,7.561,-0.308,2.774
88,1,11,7.390,-0.054,0.652
88,2,-11,71.337,-1.130,-1.894
88,3,11,68.276,-0.635,-0.616
89,0,13,12.159,0.369,2.823
89,1,-13,12.284,1.936,-0.506
89,2,11,36.671,1.311,-3.010
89,3,-11,47.849,0.473,0.263
89,4,11,0.054,-2.703,-1.328
89,5,-11,0.045,-2.657,-1.258
90,0,-13,13.532,-3.901,-1.005
90,1,13,20.996,-2.917,-1.680
90,2,13,26.507,-3.946,-0.862
90,3,-13,27.642,-1.527,-2.538
90,4,-13,0.661,2.476,-2.290
90,5,11,0.041,5.046,-1.398
90,6,-11,0.056,4.120,-1.791
91,0,13,26.411,-0.180,-1.465
91,1,-13,6.918,-1.044,-1.800
91,2,13,32.714,0.395,0.743
91,3,-13,18.870,-2.089,-1.707
91,4,11,0.555,-6.665,-1.888
91,5,-11,0.015,-6.668,-1.909
91,6,-13,1.952,-1.472,2.067
91,7,11,2.944,1.854,0.948
92,0,11,110.174,-0.638,-1.915
92,1,-11,44.541,0.465,-1.293
92,2,13,17.476,-0.923,-1.608
92,3,-13,38.083,-0.256,-1.062
92,4,11,0.266,1.719,-3.020
92,5,-11,0.624,2.009,2.966
92,6,11,0.038,2.097,-0.507
92,7,-11,0.041,2.072,-0.369
93,0,13,19.913,1.611,3.024
93,1,-13,15.793,1.017,1.880
93,2,-11,25.503,0.369,1.751
93,3,11,28.749,2.723,0.995
94,0,11,107.685,-0.172,1.784
94,1,-11,103.209,0.021,1.842
94,2,-11,135.831,-0.118,1.500
94,3,11,280.289,0.005,1.955
95,0,-13,15.901,-1.600,2.707
95,1,13,13.000,-0.588,-2.588
95,2,-11,36.135,-0.126,-0.455
95,3,11,20.010,-2.352,2.283
96,0,-11,38.405,1.894,-3.067
96,1,11,45.450,1.655,-0.228
96,2,13,19.906,1.658,2.662
96,3,-13,10.392,2.710,2.483
96,4,11,0.440,4.632,-1.909
96,5,-11,0.027,4.352,-2.046
96,6,11,0.019,2.881,3.051
96,7,-11,0.077,2.883,3.095
97,0,13,22.318,0.225,-2.148
97,1,-13,6.254,-0.028,2.591
97,2,11,11.946,-2.367,0.953
97,3,-11,25.725,0.895,-0.093
97,4,11,0.423,-2.815,-1.195
97,5,-11,0.181,-2.833,-0.941
98,0,13,16.505,-0.813,-2.114
98,1,-13,13.660,0.125,0.126
98,2,11,27.287,0.757,2.801
98,3,-11,36.775,-1.075,0.239
98,4,11,0.072,-2.444,-1.471
98,5,-11,0.025,-2.382,-1.420
99,0,-13,68.903,-1.479,0.923
99,1,13,28.899,-1.860,-2.096
99,2,13,26.014,-1.073,0.407
99,3,-13,9.121,-0.485,2.093
100,0,-13,51.277,-1.672,1.262
100,1,13,22.742,-3.410,-2.803
100,2,13,29.885,-1.461,2.323
100,3,-13,1.687,-3.932,2.767
100,4,11,6.242,1.990,-2.360
101,0,13,17.268,2.931,0.348
101,1,-13,27.875,2.424,-0.592
101,2,11,57.098,3.364,0.237
101,3,-11,31.143,2.392,-2.241
102,0,13,2.269,3.488,-2.283
102,1,-13,18.545,1.453,1.209
102,2,-11,18.209,2.544,3.006
102,3,11,37.978,0.207,-0.629
102,4,11,0.230,-2.633,-2.485
102,5,-11,0.159,-2.615,-2.493
102,6,11,0.087,-4.061,-0.389
102,7,11,0.001,0.532,2.373
102,8,-11,0.041,1.418,2.286
103,0,13,27.489,-1.861,0.256
103,1,-13,7.521,-2.630,0.332
103,2,13,16.842,-3.706,-2.995
103,3,-13,44.556,-1.440,-0.953
103,4,11,0.005,1.764,-2.561
